"","from","to","year"
"888",410,505,2001
"889",411,784,2001
"890",412,470,2001
"891",412,661,2001
"892",413,676,2001
"893",414,702,2001
"894",415,764,2001
"895",416,739,2001
"896",417,524,2001
"897",417,584,2001
"898",417,682,2001
"899",418,459,2001
"900",418,519,2001
"901",418,527,2001
"902",418,757,2001
"903",418,559,2001
"904",418,728,2001
"905",418,828,2001
"906",419,430,2001
"907",419,558,2001
"908",419,577,2001
"909",419,829,2001
"910",420,620,2001
"911",421,428,2001
"912",421,476,2001
"913",421,491,2001
"914",421,721,2001
"915",422,544,2001
"916",423,626,2001
"917",424,538,2001
"918",425,830,2001
"919",425,831,2001
"920",425,794,2001
"921",426,465,2001
"922",426,813,2001
"923",427,812,2001
"924",428,476,2001
"925",428,491,2001
"926",428,721,2001
"927",429,832,2001
"928",430,554,2001
"929",430,558,2001
"930",430,577,2001
"931",430,829,2001
"932",431,833,2001
"933",432,834,2001
"934",433,795,2001
"935",434,519,2001
"936",435,519,2001
"937",436,448,2001
"938",436,770,2001
"939",437,754,2001
"940",438,555,2001
"941",438,700,2001
"942",439,453,2001
"943",439,498,2001
"944",439,798,2001
"945",439,703,2001
"946",440,780,2001
"947",441,810,2001
"948",442,768,2001
"949",443,653,2001
"950",444,750,2001
"951",445,707,2001
"952",446,835,2001
"953",447,581,2001
"954",447,814,2001
"955",448,770,2001
"956",449,577,2001
"957",449,748,2001
"958",450,671,2001
"959",451,836,2001
"960",452,466,2001
"961",453,798,2001
"962",454,501,2001
"963",454,645,2001
"964",455,837,2001
"965",456,825,2001
"966",457,838,2001
"967",458,525,2001
"968",458,839,2001
"969",459,559,2001
"970",459,728,2001
"971",460,840,2001
"972",460,841,2001
"973",461,467,2001
"974",461,736,2001
"975",461,684,2001
"976",462,704,2001
"977",462,705,2001
"978",463,541,2001
"979",463,835,2001
"980",464,544,2001
"981",465,813,2001
"982",466,683,2001
"983",467,684,2001
"984",468,842,2001
"985",468,666,2001
"986",469,820,2001
"987",470,805,2001
"988",470,537,2001
"989",470,552,2001
"990",470,579,2001
"991",470,785,2001
"992",470,661,2001
"993",470,804,2001
"994",471,843,2001
"995",472,492,2001
"996",472,603,2001
"997",473,515,2001
"998",473,690,2001
"999",474,609,2001
"1000",475,492,2001
"1001",475,603,2001
"1002",476,491,2001
"1003",476,721,2001
"1004",477,566,2001
"1005",478,531,2001
"1006",478,715,2001
"1007",479,605,2001
"1008",480,844,2001
"1009",481,484,2001
"1010",481,507,2001
"1011",481,509,2001
"1012",481,734,2001
"1013",482,741,2001
"1014",483,553,2001
"1015",483,845,2001
"1016",484,507,2001
"1017",484,509,2001
"1018",484,734,2001
"1019",485,516,2001
"1020",485,536,2001
"1021",485,565,2001
"1022",485,818,2001
"1023",486,563,2001
"1024",486,846,2001
"1025",487,760,2001
"1026",488,789,2001
"1027",489,509,2001
"1028",489,803,2001
"1029",490,847,2001
"1030",491,721,2001
"1031",492,522,2001
"1032",492,603,2001
"1033",492,672,2001
"1034",493,637,2001
"1035",494,675,2001
"1036",495,497,2001
"1037",495,848,2001
"1038",496,849,2001
"1039",496,787,2001
"1040",497,848,2001
"1041",498,798,2001
"1042",499,766,2001
"1043",500,815,2001
"1044",501,645,2001
"1045",502,850,2001
"1046",503,727,2001
"1047",504,626,2001
"1048",505,851,2001
