"","from","to","year"
"1063",68,260,2002
"1064",69,339,2002
"1065",70,203,2002
"1066",70,340,2002
"1067",71,153,2002
"1068",71,212,2002
"1069",71,251,2002
"1070",71,341,2002
"1071",72,342,2002
"1072",73,343,2002
"1073",74,196,2002
"1074",75,205,2002
"1075",75,208,2002
"1076",75,344,2002
"1077",76,332,2002
"1078",77,233,2002
"1079",77,345,2002
"1080",78,216,2002
"1081",78,226,2002
"1082",78,235,2002
"1083",78,293,2002
"1084",79,116,2002
"1085",79,346,2002
"1086",80,347,2002
"1087",81,348,2002
"1088",82,274,2002
"1089",82,297,2002
"1090",83,181,2002
"1091",83,284,2002
"1092",84,303,2002
"1093",85,244,2002
"1094",85,267,2002
"1095",85,328,2002
"1096",86,295,2002
"1097",87,349,2002
"1098",88,199,2002
"1099",88,248,2002
"1100",88,350,2002
"1101",89,351,2002
"1102",90,218,2002
"1103",90,245,2002
"1104",90,252,2002
"1105",91,151,2002
"1106",91,352,2002
"1107",92,353,2002
"1108",92,354,2002
"1109",93,197,2002
"1110",93,355,2002
"1111",94,356,2002
"1112",95,357,2002
"1113",96,209,2002
"1114",96,358,2002
"1115",97,220,2002
"1116",98,105,2002
"1117",98,202,2002
"1118",98,237,2002
"1119",98,239,2002
"1120",98,359,2002
"1121",99,360,2002
"1122",100,318,2002
"1123",101,145,2002
"1124",101,224,2002
"1125",101,225,2002
"1126",101,361,2002
"1127",102,204,2002
"1128",103,140,2002
"1129",103,204,2002
"1130",103,362,2002
"1131",104,254,2002
"1132",105,202,2002
"1133",105,237,2002
"1134",105,239,2002
"1135",105,359,2002
"1136",106,174,2002
"1137",106,214,2002
"1138",106,240,2002
"1139",106,246,2002
"1140",106,363,2002
"1141",107,168,2002
"1142",107,364,2002
"1143",108,147,2002
"1144",108,365,2002
"1145",109,366,2002
"1146",110,136,2002
"1147",110,266,2002
"1148",110,367,2002
"1149",111,368,2002
"1150",112,219,2002
"1151",112,369,2002
"1152",113,178,2002
"1153",113,272,2002
"1154",113,297,2002
"1155",114,243,2002
"1156",115,370,2002
"1157",116,346,2002
"1158",117,186,2002
"1159",118,371,2002
"1160",119,372,2002
"1161",120,319,2002
"1162",121,373,2002
"1163",122,283,2002
"1164",123,182,2002
"1165",123,374,2002
"1166",124,236,2002
"1167",124,278,2002
"1168",124,374,2002
"1169",125,146,2002
"1170",126,331,2002
"1171",127,171,2002
"1172",127,254,2002
"1173",127,263,2002
"1174",127,337,2002
"1175",128,143,2002
"1176",128,240,2002
"1177",128,375,2002
"1178",129,376,2002
"1179",130,270,2002
"1180",131,377,2002
"1181",132,378,2002
"1182",133,189,2002
"1183",133,232,2002
"1184",133,379,2002
"1185",134,380,2002
"1186",135,139,2002
"1187",135,322,2002
"1188",136,266,2002
"1189",136,367,2002
"1190",137,299,2002
"1191",138,178,2002
"1192",138,272,2002
"1193",138,381,2002
"1194",139,322,2002
"1195",140,204,2002
"1196",140,362,2002
"1197",141,382,2002
"1198",142,322,2002
"1199",143,240,2002
"1200",143,375,2002
"1201",144,307,2002
"1202",145,224,2002
"1203",145,225,2002
"1204",146,383,2002
"1205",147,365,2002
"1206",148,179,2002
"1207",148,238,2002
"1208",148,384,2002
"1209",149,165,2002
"1210",149,385,2002
"1211",150,302,2002
"1212",151,352,2002
"1213",152,386,2002
"1214",153,212,2002
"1215",153,251,2002
"1216",153,341,2002
"1217",154,201,2002
"1218",154,230,2002
"1219",154,247,2002
"1220",154,387,2002
"1221",155,177,2002
"1222",155,299,2002
"1223",156,382,2002
"1224",157,271,2002
"1225",157,374,2002
"1226",157,388,2002
"1227",158,167,2002
"1228",159,249,2002
"1229",159,290,2002
"1230",160,259,2002
"1231",160,389,2002
"1232",161,390,2002
"1233",162,167,2002
"1234",162,231,2002
"1235",162,242,2002
"1236",162,391,2002
"1237",163,392,2002
"1238",164,225,2002
"1239",164,393,2002
"1240",165,385,2002
"1241",166,394,2002
"1242",167,231,2002
"1243",167,242,2002
"1244",167,391,2002
"1245",168,364,2002
"1246",169,223,2002
"1247",169,265,2002
"1248",169,395,2002
"1249",170,270,2002
"1250",171,254,2002
"1251",171,263,2002
"1252",171,337,2002
"1253",172,175,2002
"1254",172,345,2002
"1255",173,186,2002
"1256",173,396,2002
"1257",174,214,2002
"1258",174,240,2002
"1259",174,246,2002
"1260",174,363,2002
"1261",174,397,2002
"1262",175,345,2002
"1263",176,398,2002
"1264",177,299,2002
"1265",178,272,2002
"1266",178,297,2002
"1267",178,381,2002
"1268",179,238,2002
"1269",179,384,2002
"1270",180,399,2002
"1271",181,284,2002
"1272",182,374,2002
"1273",183,400,2002
"1274",184,257,2002
"1275",185,192,2002
"1276",185,193,2002
"1277",185,234,2002
"1278",185,401,2002
"1279",186,396,2002
"1280",187,287,2002
"1281",188,279,2002
"1282",189,232,2002
"1283",189,379,2002
"1284",190,280,2002
"1285",191,241,2002
"1286",191,268,2002
"1287",191,276,2002
"1288",191,402,2002
"1289",191,403,2002
"1290",192,193,2002
"1291",192,234,2002
"1292",192,401,2002
"1293",193,234,2002
"1294",193,401,2002
"1295",194,404,2002
"1296",194,327,2002
"1297",195,405,2002
"1298",196,220,2002
"1299",196,406,2002
"1300",197,355,2002
"1301",198,351,2002
"1302",199,248,2002
"1303",199,350,2002
"1304",200,221,2002
"1305",200,407,2002
"1306",201,230,2002
"1307",201,247,2002
"1308",201,387,2002
"1309",202,237,2002
"1310",202,239,2002
"1311",202,359,2002
"1312",203,340,2002
"1313",204,362,2002
"1314",205,208,2002
"1315",205,344,2002
"1316",206,408,2002
"1317",207,409,2002
"1318",207,410,2002
"1319",208,344,2002
"1320",209,358,2002
"1321",210,411,2002
"1322",211,412,2002
"1323",211,413,2002
"1324",212,341,2002
"1325",213,217,2002
"1326",213,314,2002
"1327",214,240,2002
"1328",214,246,2002
"1329",214,363,2002
"1330",215,398,2002
"1331",216,226,2002
"1332",216,235,2002
"1333",216,293,2002
"1334",217,314,2002
"1335",218,245,2002
"1336",218,252,2002
"1337",219,369,2002
"1338",220,406,2002
"1339",221,407,2002
"1340",222,414,2002
"1341",223,265,2002
"1342",223,415,2002
"1343",223,395,2002
"1344",224,225,2002
"1345",225,393,2002
"1346",225,361,2002
"1347",226,235,2002
"1348",226,293,2002
"1349",227,416,2002
"1350",228,244,2002
"1351",229,417,2002
"1352",230,247,2002
"1353",230,387,2002
"1354",231,242,2002
"1355",231,391,2002
"1356",232,379,2002
"1357",233,345,2002
"1358",234,401,2002
"1359",235,293,2002
"1360",236,278,2002
