"","label","CM","measure","pct"
"225","N Feldman","degree",11,0.980114891736633
"226","P Kellman","degree",11,0.980026513477684
"227","D Vinson","degree",11,0.979938135218736
"228","S Sinnett","degree",11,0.979849756959788
"229","A Washburn","degree",11,0.97976137870084
"230","M Spezio","degree",11,0.979673000441891
"231","G Gronchi","degree",11,0.979584622182943
"232","L Young","degree",11,0.979496243923995
"233","G Vigliocco","degree",11,0.979407865665046
"234","B Strickland","degree",11,0.979319487406098
"235","M Ahissar","degree",11,0.97923110914715
"236","E Cranford","degree",11,0.979142730888201
"237","A Szollosi","degree",11,0.979054352629253
"238","M Lamb","degree",11,0.978965974370305
"239","A Young","degree",11,0.978877596111357
"240","C Lebiere","degree",11,0.978789217852408
"241","J Johnson","degree",10,0.97870083959346
"242","M Ellefson","degree",10,0.978612461334512
"243","Y Zhang","degree",10,0.978524083075563
"244","C Smith","degree",10,0.978435704816615
"245","M Anderson","degree",10,0.978347326557667
"246","L Richland","degree",10,0.978258948298719
"247","A Kranjec","degree",10,0.97817057003977
"248","L Yu","degree",10,0.978082191780822
"249","G Jones","degree",10,0.977993813521874
"250","W Voorspoels","degree",10,0.977905435262925
"251","H Kloos","degree",10,0.977817057003977
"252","B Hayes","degree",10,0.977728678745029
"253","T Miura","degree",10,0.97764030048608
"254","P Matthews","degree",10,0.977551922227132
"255","A Shtulman","degree",10,0.977463543968184
"256","G Vallee-Tourangeau","degree",10,0.977375165709236
"257","A Nematzadeh","degree",10,0.977286787450287
"258","W So","degree",10,0.977198409191339
"259","C Kalish","degree",10,0.977110030932391
"260","A Chatterjee","degree",10,0.977021652673442
"261","K Wagner","degree",10,0.976933274414494
"262","Y Li","degree",10,0.976844896155546
"263","I McLaren","degree",10,0.976756517896597
"264","Y Hu","degree",10,0.976668139637649
"265","J Kominsky","degree",10,0.976579761378701
"266","J Knobe","degree",10,0.976491383119753
"267","A Carstensen","degree",10,0.976403004860804
"268","J Chin","degree",10,0.976314626601856
"269","A Majid","degree",10,0.976226248342908
"270","B Malt","degree",10,0.976137870083959
"271","M Walsh","degree",10,0.976049491825011
"272","J Vandekerckhove","degree",10,0.975961113566063
"273","E Vul","degree",10,0.975872735307114
"274","M Ho","degree",10,0.975784357048166
"275","M Littman","degree",10,0.975695978789218
"276","D Buchsbaum","degree",10,0.97560760053027
"277","K Koedinger","degree",10,0.975519222271321
"278","J Kubricht","degree",10,0.975430844012373
"279","J Madsen","degree",10,0.975342465753425
"280","T Pachur","degree",10,0.975254087494476
"281","J Cromley","degree",10,0.975165709235528
"282","R Levy","degree",10,0.97507733097658
"283","K Shockley","degree",10,0.974988952717631
"284","Q Zhang","degree",10,0.974900574458683
