"","from","to"
"73","S Grewal","J Tohill"
"74","S Grewal","A Lau"
"75","K Marriott","A Jansen"
"76","G Yelland","A Jansen"
"77","G Yelland","K Marriott"
"78","J Kim","I Jantz"
"79","P Grey","I Jantz"
"80","P Grey","J Kim"
"81","I McLaren","F Jones"
"82","N Taatgen","L Jongman"
"83","P Wennerholm","P Juslin"
"84","A Winman","P Juslin"
"85","A Winman","P Wennerholm"
"86","I Katz","T Kelley"
"87","T Burke","P Kellman"
"88","J Hummel","P Kellman"
"89","J Hummel","T Burke"
"90","S Kitzis","S Kitzis"
"91","S Ohlsson","G Knoblich"
"92","G Raney","G Knoblich"
"93","G Raney","S Ohlsson"
"94","J Evans","N Lambell"
"95","S Handley","N Lambell"
"96","S Handley","J Evans"
"97","P Langley","P Langley"
"98","A Leary","A Leary"
"99","R West","C Lebiere"
"100","C Gonzalez","F Lerch"
